Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Ankara, Türkiye",09/12/2022 00:00:00,22.1,22.1,22.1,,,0,,,4.1,57,14.8,17.5,,50.22,Clear
"Ankara, Türkiye",09/12/2022 01:00:00,21.1,21.1,21.1,,,0,,,3.1,19,,17.5,,52.53,Clear
"Ankara, Türkiye",09/12/2022 02:00:00,20.1,20.1,20.1,,,0,,,3.4,49,,17.5,,54.55,Clear
"Ankara, Türkiye",09/12/2022 03:00:00,19.1,19.1,19.1,,,0,,,1.7,20,14.8,17.5,,57.76,Clear
"Ankara, Türkiye",09/12/2022 04:00:00,17.9,17.9,17.9,,,0,,,3.1,19,,17.5,,61.46,Clear
"Ankara, Türkiye",09/12/2022 05:00:00,17.1,17.1,17.1,,,0,,,6.1,40,,17.5,,64.46,Clear
"Ankara, Türkiye",09/12/2022 06:00:00,16.6,16.6,16.6,,,0,,,3.2,39,9.4,17.5,30,64.35,Partially cloudy
"Ankara, Türkiye",09/12/2022 07:00:00,16.5,16.5,16.5,,,0,,,3.4,40,,17.5,30,65.85,Partially cloudy
"Ankara, Türkiye",09/12/2022 08:00:00,19.3,19.3,19.3,,,0,,,4.5,62,,17.5,31.1,56.27,Partially cloudy
"Ankara, Türkiye",09/12/2022 09:00:00,21.9,21.9,21.9,,,0,,,3.5,58,9.4,17.5,59.3,50.85,Partially cloudy
"Ankara, Türkiye",09/12/2022 10:00:00,24.4,24.4,24.4,,,0,,,5,87,,17.5,48.3,43.94,Partially cloudy
"Ankara, Türkiye",09/12/2022 11:00:00,26.1,26.1,26.1,,,0,,,6,196,,17.5,46.9,39.58,Partially cloudy
"Ankara, Türkiye",09/12/2022 12:00:00,26.7,26.7,26.7,,26.5,0,,,9.7,254,14.8,17.5,50,35.77,Partially cloudy
"Ankara, Türkiye",09/12/2022 13:00:00,27.6,27.6,27.6,,27.2,0,,,12.4,257,,17.5,44.1,37.2,Partially cloudy
"Ankara, Türkiye",09/12/2022 14:00:00,27.6,27.6,27.6,,27.2,0,,,11.7,262,,17.5,44.1,37.09,Partially cloudy
"Ankara, Türkiye",09/12/2022 15:00:00,28.2,28.2,28.2,,27.5,0,,,16.7,260,29.5,17.5,46.5,33.51,Partially cloudy
"Ankara, Türkiye",09/12/2022 16:00:00,27.6,27.6,27.6,,27.2,0,,,14.5,261,,17.5,59.3,36.54,Partially cloudy
"Ankara, Türkiye",09/12/2022 17:00:00,26.3,26.3,26.3,,,0,,,14.5,258,,17.5,79.5,38.19,Overcast
"Ankara, Türkiye",09/12/2022 18:00:00,23.3,23.3,23.3,,,0,,,18.8,353,40.7,13.8,87.6,50.62,Overcast
"Ankara, Türkiye",09/12/2022 19:00:00,21.8,21.8,21.8,,,0,,,13.8,341,,13.8,87.8,51.77,Overcast
"Ankara, Türkiye",09/12/2022 20:00:00,20.2,20.2,20.2,,,0,,,13.9,342,,17.5,50,54.2,Partially cloudy
"Ankara, Türkiye",09/12/2022 21:00:00,18.2,18.2,18.2,,,0.16,,,8.3,1,40.7,17.5,42.5,57.09,"Rain, Partially cloudy"
"Ankara, Türkiye",09/12/2022 22:00:00,17.6,17.6,17.6,,,0,,,6.7,355,,17.5,34.9,58.27,Partially cloudy
"Ankara, Türkiye",09/12/2022 23:00:00,16.8,16.8,16.8,,,0,,,11.7,357,,17.5,45.1,59.62,Partially cloudy
"Ankara, Türkiye",09/13/2022 00:00:00,16.6,16.6,16.6,,,0,,,5.6,15,25.9,17.5,31.4,60.42,Partially cloudy
